probe,availability
17255,0.5982197293013047
17256,0.9753935227067125
17257,0.6126066973079448
14926,0.8760373252683215
30705,0.973811750701471
10701,0.737092879054892
26121,0.9299809038828771
10705,0.7959583773186548
10704,0.7784826467008447
24883,0.7181700980583662
24882,0.994931696693724
24887,0.9578486176159541
24886,0.9995467593292038
24885,0.46379038453762483
21614,0.9934656844383402
21617,0.9942334739803094
18182,0.2320083682008368
21611,1
21610,0.40041848963287047
12382,1
26023,0.9952100035294711
26027,1
26025,0.9968338610231628
32226,1
26029,1.0
26028,0.9224090559402132
26577,0.8563113254615001
31318,0.9643527204502814
2143,0.9282974328710534
19394,0.9795744995198346
24824,0.9132622083441756
26571,0.8746987951807229
28846,0.8663155254577376
22874,0.867869803416049
22875,0.5593238358494578
24089,0.7099587396849212
24088,0.5435905111127741
22870,0.6686724748966332
26573,0.9854166666666667
21076,0.9892544588456852
22873,0.9816774483042291
24082,0.26511990462653034
24081,0.5803349753694581
24080,0.9235427126049132
22878,0.857005864345517
22879,0.7700365138494449
24085,1.0
24084,0.6136336408290404
3513,0.9848781027551359
3511,0.9590524003765296
3510,0.9874628305071125
3517,0.9575849223619666
3515,0.9904790352089011
32220,0.8630711610486891
2689,0.9910209662716499
2684,0.9654409323940545
2685,0.9885294876996275
16233,0.9929554088444658
2680,0.5894471305444607
2681,0.9388116401726109
2682,0.8945659792673479
2683,0.9854313428982407
14626,0.9892809964144178
14627,0.6781498967246975
14620,0.9576457010963647
14622,0.8161194347040697
14623,0.8114557592298898
16768,0.8613949028141482
31490,0.9800498753117207
22266,1.0
14628,0.9219025990411305
14629,0.9947625522485773
99,0.9030275946821584
98,0.9121435142594296
91,0.8988072335513659
93,0.9798613160224255
92,0.9126518255989958
95,0.9859654916205729
94,0.9885294876996275
97,0.9577324530667946
30411,0.9578837711139222
30410,0.9993888064262638
30413,0.9989107666527022
30412,0.8948347722536469
30415,0.9470323953653346
24368,0.7923280963068762
30416,0.9650377969762419
30419,0.9454572512835776
30418,0.9973400325107138
27419,0.5604172703564184
21733,0.9264190609670637
28569,0.8916369578134284
13050,0.9935086489875705
13051,0.9194851178401505
13056,0.9886770184044554
13057,0.9991340563275741
13054,0.9854285112655295
13055,0.8049572585762813
33507,0.9879547390193454
33852,0.7629024621212122
33853,0.6125163760959387
33502,0.9961663568773235
33855,0.9992713646299574
33500,0.9875636622053773
33857,0.9529262086513995
33859,0.3746744791666667
18709,0.7259853267360519
33508,0.9990169574834111
25061,0.8657368209972818
17827,0.7852220088125635
17826,0.90209893393338
17825,0.8829343857190278
17824,0.9903006012024048
17823,0.8725703537048648
17822,0.804648631840796
29383,0.7940041743090254
20259,0.9541330018645121
25064,0.7269034754952677
29382,0.34767184035476717
20252,0.9665429631744219
20253,0.687159893481533
20250,0.9990752632930902
27571,0.8128678827437497
20256,0.9942196531791907
20257,0.969387378748202
20254,0.8344748858447488
20255,0.9858008801793573
16237,0.9706959706959707
29768,0.43143639458299415
29819,0.5957209716960107
26195,1.0
29765,0.9105594710908751
21981,0.9825693455124445
29767,0.6753360607831678
29814,0.9291786912097341
